City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,estancia,-11.2683,-37.4383,82.36,65,7,8.57,BR,1678651679
146,plettenberg bay,-34.0527,23.3716,64.94,86,0,5.66,ZA,1678651680
147,lorengau,-2.0226,147.2712,79.92,77,82,2.39,PG,1678651680
148,iqaluit,63.7506,-68.5145,-0.31,84,47,0.63,CA,1678651680
149,enshi,30.3,109.4833,47.1,89,92,0.89,CN,1678651681
150,mareeba,-17.0,145.4333,74.44,92,51,0.98,AU,1678651681
151,buraydah,26.326,43.975,57.65,79,71,15.37,SA,1678651389
152,narsaq,60.9167,-46.05,32.22,75,51,5.59,GL,1678651682
153,lasa,46.6166,10.7002,42.69,77,65,3.69,IT,1678651682
154,vila,42.0304,-8.1588,49.08,27,100,5.88,PT,1678651682
155,qaqortoq,60.7167,-46.0333,24.03,85,79,5.28,GL,1678651683
156,ngunguru,-35.6167,174.5,62.65,78,99,7.78,NZ,1678651683
157,mehamn,71.0357,27.8492,12.15,79,0,11.5,NO,1678651684
158,vengurla,15.8667,73.6333,79.56,44,100,4.52,IN,1678651684
159,berlevag,70.8578,29.0864,12.2,72,0,8.05,NO,1678651684
160,chuy,-33.6971,-53.4616,82.58,58,37,14.67,UY,1678651685
161,yumen,40.2833,97.2,43.03,21,7,8.41,CN,1678651685
162,hamilton,39.1834,-84.5333,39.11,85,100,6.91,US,1678651228
163,gumdag,39.2061,54.5906,62.98,54,9,16.84,TM,1678651686
164,porto novo,6.4965,2.6036,81.93,77,100,9.26,BJ,1678651404
165,beringovskiy,63.05,179.3167,-11.65,85,28,6.26,RU,1678651686
166,ginda,30.6945,78.4932,51.96,45,58,6.33,IN,1678651687
167,rockingham,42.9668,-71.0995,49.53,59,71,3.0,US,1678651687
168,shiyan,32.6475,110.7781,44.37,20,0,2.1,CN,1678651688
169,puerto ayora,-0.7393,-90.3518,85.96,85,4,11.99,EC,1678651688
170,alofi,-19.0595,-169.9187,76.89,100,100,3.44,NU,1678651689
171,naze,28.3667,129.4833,57.76,82,100,23.35,JP,1678651689
172,dunedin,-45.8742,170.5036,50.81,78,100,13.0,NZ,1678651689
173,qaanaaq,77.484,-69.3632,-9.6,80,13,7.47,GL,1678651690
174,namibe,-15.1961,12.1522,74.37,83,100,4.07,AO,1678651509
175,samarai,-10.6167,150.6667,81.55,78,95,9.75,PG,1678651691
176,gap,44.6667,6.0,31.77,70,99,5.03,FR,1678651691
177,margate,51.3813,1.3862,50.88,84,100,8.99,GB,1678651691
178,teguldet,57.3064,88.1667,16.74,91,100,10.74,RU,1678651692
179,broome,42.2506,-75.833,41.18,68,0,6.91,US,1678651692
180,zyryanka,65.75,150.85,-13.41,100,94,1.7,RU,1678651692
181,aykhal,66.0,111.5,5.83,98,100,9.37,RU,1678651693
182,tateyama,34.9833,139.8667,61.11,73,100,18.79,JP,1678651693
183,camocim,-2.9022,-40.8411,80.02,82,100,11.59,BR,1678651693
184,bonthe,7.5264,-12.505,78.91,86,99,7.78,SL,1678651694
